id,comment,score
295562096, clear accurate thank,10
295562415, right,9
295563199, right,9
295562240, first class service gold medal,10
295562144, perfect except 2 send different order,9
295563200, thank advisor help advise research place order please assistance,10
295562436, many product available reasonable shipping cost,10
295564344, fast clear,10
295564127, well organize,9
295562419, right,10
295563028, quick clear explanation,10
295561975, friendly,10
295564367, hope receive order soon,10
295564106, wait receive order material,8
295563345, good site,10
295563201, nothing say great,10
295561878, easy order,10
295561721, improve pay portsthank,9
295563021, easy order always happy return,10
295563858, easy navigation good,10
295561811, quite logical easy problem,8
295561673, clear intuitive web information need step step purchase product congratulation,10
295561952, easy check want order,10
295562739, great site easy find previous order,10
295564089, easy use,10
295562058, easy insert product cart payment cover type,9
295562886, high shipment,0
295562175, cat top,10
295562359, nothing say good say,10
295563227, hope delivery easy order,8
295564206, easy order straight forward hopefully item arrive perfect condition,10
295562142, good product excellent service,8
295564345, comfortable variety quality product,10
295562228, description would need,8
295562865, often order manomano never disappoint moment,10
295562248, easy fast,9
295562183, top buy quality material,10
295564179, fast efficient addition question per online chat well,10
295562642, delivery cost high,5
295565714, process choice order payment simple fast right,9
295563929, say delivery free pay gets pay cool,5
295562364, easy,10
295563732, nothing say clear,10
295561916, could not put address take 6 attempt,7
295561836, difficult understand difference price different difficulty see different dimension take long time see subtlety however quality appointment product strong,8
295561939, simple,9
295563570, simple effective thank,10
295561691, problem site,10
295563687, easy fast,8
295563247, thank deliver soon possible stuck construction site,7
295562779, yes fast,10
295563268, forget password promptly renew without problem super,10
295562238, order manomano child play,10
295563091, nothing say,8
295562023, article fairly detail,9
295562485, right,8
295563508, phone number miss would like speak adviser,6
295562880, well explain follow instruction I m good,10
295562778, easy order easy pay super,10
295564113, relay point possible,6
295563752, like site fast reception affordable price,10
295561690, easy intuitive,8
295563750, right need create account order,10
295562623, close window go email,8
295562297, first order manomano do not encounter difficulty,9
295563290, little messy okay,7
295562761, fast difficulty,9
295563190, right,9
295565640, do not know say since put 1010,10
295561837, veryeasy intuitive site,9
295562484, always pleasure buy,7
295562907, let hope get soon,10
295561943, good product easy order,10
295561779, nothing say easy,10
295563056, perfect easy,10
295563384, fabien advise help great dialogue,10
295562928, simple,10
295564361, able order quickly without complication,10
295563194, quick order see delivery,10
295561873, easy find you re look,10
295563293, clear precise explanation,10
295562155, clear,9
295562486, work quite well,8
295562225, nikel nothing say,10
295561909, product already order previously would wise option recommend,6
295562055, perfect everything work well quickly,10
295562457, perfect except price double transport,8
295563081, beautiful item good price,10
295563236, simple thank,7
295562386, happy,10
295563505, pleasant interface,10
295562258, always satisfied purchase site easy use thank,8
295562235, easy order answer fast efficient ask question,9
295563843, quality speed deliverythank,10
295563177, right,10
295561998, quick order like,10
295564128, first order good least hope,9
295562988, clear easy website,10
295562542, right,9
295562209, easy quick,10
295563380, obligation create painful account,9
295563288, always happy service manomano,10
295563005, easy order fast execution,10
295562746, hello easy see article,7
295563291, easy intuitive web,10
295563306, happy purchase make safely thank,10
295565678, fast effective,10
295563524, do not get buy product need try another credit card finally got buy talk three agent least way could buy credit card,7
295561733, easy intuitivo,10
295563577, change address start type payment information troubling,7
295563694, nothing say perfect,10
295561981, quick easy find product look,10
295563912, little expensive comfortable,8
295562122, problem fast efficient,10
295562387, great easy ordering process thank,10
295563820, 2 credit request,5
295563033, moment everything perfect,9
295563583, give detail invoice name community good,9
295563502, that s great,9
295563145, fast agile,10
295562826, simple fast,10
295562396, manomano great site,10
295563152, well secure payment telephone code cordially,8
295562687, complicated do not know password anymore,2
295563630, everything accessible functional,10
295564379, cossiller sympathetic,10
295562511, simple fast,10
295562655, nothing say perfect,10
295563794, I m waiting deliver,10
295562199, quick easy,10
295563596, love site always find want,10
295563642, first time manomano easy I m thankful,10
295562678, possible already make order automatically renew,8
295561838, easy use lot choice ill recommend friend,9
295561804, right,8
295563496, do not make mistake right,8
295563311, easy fast control,10
295562115, pay box move well insert card datum,9
295563382, problem validation payment,8
295562171, nothing report easy,10
295563082, great way get want need,10
295562640, nothing wait send soon possible thank,9
295562413, easy find exactly want straight forward payment,10
295562479, shipping cost high,2
295563728, easy find want good description product helpful customer feedback,10
295561885, good site,10
295561989, problem,10
295563977, good practical,10
295563532, sad amex be not want good,5
295563528, comment yet,8
295564167, I m use order home they re serious,9
295562754, I m wait see happen,10
295562929, fast simple,10
295564168, I ve well advise service thank,7
295565701, fast effective,10
295563399, product order perfect nickel delivery,10
295562862, fast without registration great,9
295563507, great advice,10
295565650, clear fluid site,10
295563623, wait see,8
295562109, simple,8
295562930, clear could information first visual product commander gregory meckert,7
295563451, c fast well explain compare,10
295561874, easy ordering process hopefully order completion,10
295563243, never disappoint manomano,10
295562758, class always,10
295561767, simple fast,10
295563748, refusal pay three time,6
295563314, intuitive interface within reach great number,10
295561930, pity certain item deliver belgium,9
295563947, could not find discount code,8
295562051, convenient site,10
295562998, simple clear,10
295564318, thank help charlie,8
295564174, clear easy choice order I m wait delivery comment little,10
295562458, great usual,10
295561697, product find easily discount code offer slight delay previous order real business bravo thank,10
295563388, nice site visit without embuche,10
295565625, simple fast,10
